ACCESSION_NUMBER	CORP_PARTNER_TYPE	CORP_PARTNER_ID	ENTITYNAME	RELATIONSHIPSTARTDATE	TITLEORSTATUS	OWNERSHIPCODE	CONTROLPERSON	AUTHORITYDESCRIPTION	RELATIONSHIPENDDATE
0000773568-12-000002	corporationPartnership	8	KRISTI ROJOHN	01-OCT-2001	COMPLIANCE VP, SECRETARY	NA	false		
0000773568-12-000002	corporationPartnership	19	Russel J. Wiltgen	03-MAY-2010	Chief Actuary	NA	true		
0000773568-12-000002	corporationPartnership	18	KEVIN SLAWIN	08-OCT-2009	EXECUTIVE VP, MARKETING AND DISTRIBUTION	NA	true		
0000773568-12-000002	corporationPartnership	17	LORI GEADELMANN	14-MAY-2009	CORPORATE COMPLIANCE OFFICER	NA	false		
0000773568-12-000002	corporationPartnership	1	JAMES WILLIAM NOYCE	01-FEB-2007	CEO	NA	true		01-MAY-2009
0000773568-12-000002	corporationPartnership	2	JAMES PATRICK BRANNEN	01-FEB-2007	CFO & TREASURER	NA	true		
0000773568-12-000002	corporationPartnership	3	JOHN M. PAULE	01-FEB-2007	EXECUTIVE VP	NA	true		02-SEP-2009
0000773568-12-000002	corporationPartnership	4	SHARON MARIE MARKER	01-FEB-2007	INV ACCT DIRECTOR	NA	false		
0000773568-12-000002	corporationPartnership	5	LOUANN GERHARD SANDBURG	01-OCT-2004	CCO, VP-INVESTMENTS & ASST TREASURER	NA	true		19-JUN-2008
0000773568-12-000002	corporationPartnership	6	DENNIS M. MARKER	01-MAR-2000	CCO AND VP-INVESTMENT ADMINISTRATION	NA	true		27-JAN-2009
0000773568-12-000002	corporationPartnership	7	JOANN WESLIE RUMELHART	01-MAR-2000	EXECUTIVE VP	NA	true		22-JAN-2008
0000773568-12-000002	corporationPartnership	20	JENNIFER MORGAN	26-JAN-2011	CHIEF COMPLIANCE OFFICER	NA	false		
0000773568-12-000002	corporationPartnership	9	DAVID THOMPSON SEBASTIAN	01-JUL-2004	VICE PRESIDENT	A	true		03-MAY-2010
0000773568-12-000002	corporationPartnership	10	ROBERT DALE RUISCH	01-JAN-2005	MUTUAL FUND ACCOUNTING DIRECTOR	NA	false		01-AUG-2011
0000773568-12-000002	corporationPartnership	11	FBL FINANCIAL SERVICES, INC.	01-JAN-1995	OWNER	E	true		
0000773568-12-000002	corporationPartnership	12	RICHARD J. KYPTA	28-AUG-2007	EXECUTIVE VP	NA	true		
