ACCESSION_NUMBER	ADDRESS_ID	ADDRESS_TYPE	ADDRESS
0000773568-12-000002	1	principalOfficeAddress	5400 UNIVERSITY AVENUE  WEST DES MOINES IA 50266 5997
0000913801-12-000003	1	principalOfficeAddress	One Towne Square Suite 444 Southfield MI 48076
0001534605-12-000004	1	principalOfficeAddress	700 17TH STREET SUITE 2400 DENVER CO 80202
0000810417-12-000008	1	principalOfficeAddress	12555 Manchester Avenue  St. Louis MO 63131
0000810417-12-000008	1	otherBusinessLocation	8620 South River Parkway  Tempe AZ 85284
0000810417-12-000006	1	otherBusinessLocation	8620 South River Parkway  Tempe AZ 85284
0000810417-12-000006	1	principalOfficeAddress	12555 Manchester Avenue  St. Louis MO 63131
0000810417-12-000005	1	principalOfficeAddress	12555 Manchester Avenue  St. Louis MO 63131
0000810417-12-000005	1	otherBusinessLocation	8620 South River Parkway  Tempe AZ 85284
0001277690-12-000008	3	otherBusinessLocation	2001 University Street 16th Floor Montreal A8 H3A 2A6
0001277690-12-000008	4	otherBusinessLocation	1600 Hollis Street 4th Floor Halifax A5 B3J 1V7
0001277690-12-000008	2	otherBusinessLocation	600 The Dome Tower 333, 7th Avenue SW Calgary A0 T2P 2Z1
0001277690-12-000008	1	principalOfficeAddress	320 Bay Street  Toronto A6 M5H 4A6
0001277690-12-000008	1	otherBusinessLocation	1066 West Hastings Street Suite 1600 Vancouver A1 V6E 3X1
0001492746-12-000005	1	principalOfficeAddress	2625 Butterfield Road Suite 208W Oak Brook IL 60523
0001492746-12-000005	1	otherBusinessLocation	BackOffice IT Solutions Pvt. Ltd. Plot No. 3 Bapuji Marg, Sehkaar Marg, Jaipur K7 302 001
0001470814-12-000003	1	principalOfficeAddress	500 Park Ave Ste 114  Lake Villa IL 60046
0000784554-12-000009	1	principalOfficeAddress	11835 Fountainside Cir.  Boynton Beach FL 33437
0001445546-12-001600	1	principalOfficeAddress	120 East Liberty Drive Suite 400 Wheaton IL 60187
0001204459-12-000609	2	otherBusinessLocation	1003-750 West Pender Street  Vancouver A1 V6C 2T8
0001204459-12-000609	1	principalOfficeAddress	2300, 125 - 9th Avenue SE  Calgary A0 T2G 0P6
0001204459-12-000609	1	otherBusinessLocation	920, 120 Adelaide Street West  Toronto A6 M5H 1T1
0001202048-12-000002	1	principalOfficeAddress	2929 Allen Parkway, L4-01  Houston TX 77019
0001202048-12-000002	1	otherBusinessLocation	205 SE 10th Avenue  Amarillo TX 79101
0000950123-12-005244	4	otherBusinessLocation	1981 Marcus Avenue  Lake Success NY 11042
0000950123-12-005244	3	otherBusinessLocation	2 Journal Square Plaza  Jersey City NJ 07306-0817
0000950123-12-005244	1	principalOfficeAddress	1717 Arch Street Suite 1300 Philadelphia PA 19103
0000950123-12-005244	2	otherBusinessLocation	1155 Long Island Avenue  Edgewood NY 11717
