ACCESSION_NUMBER	ENTITY_TYPE	ENTITY_ID	ENTITYNAME	SUCCESSORREGISTERED	ADDRESS
0001354488-16-006839	tawRegistrant	1	iTransfer		500 Perimeter Park Drive Suite D Morrisville  27560
0001410578-16-000733	tawCustodians	1	SCANA Corporation		220 Operation Way  Cayce  29033
0001410578-16-000733	tawSuccessors	1	Wells Fargo Bank, N.A.	Y	1110 Centre Point Curve  Mendota Heights  55118
0001410578-16-000733	tawRegistrant	1	SCANA Corporation		220 Operation Way  Cayce  29033
0000950123-16-015346	tawRegistrant	1	CenterPoint Energy, Inc.		1111 Louisiana St  Houston  77002
0000950123-16-015346	tawCustodians	1	Peter Breen, General Manager		1717 Arch St. Suite 1300  Philadelphia  19103
0000950123-16-015346	tawSuccessors	1	Broadridge Corporate Issuer Solutions, Inc.	Y	1717 Arch St. Suite 1300  Philadelphia  19103
0000950123-16-015248	tawRegistrant	1	American National Stock Transfer, LLC		405 Park Avenue Concourse Level New York  10022
0000950123-16-015248	tawSuccessors	1	DST Systems, Inc.	Y	430 W. 7th Street  Kansas City  64105
0000950123-16-015248	tawCustodians	1	Todd Lee		DST Systems, Inc. 430 W. 7th Street Kansas City  64105
0000950123-16-015248	tawSuccessors	2	Gemini Fund Services LLC	Y	17605 Wright Street  Omaha  68130
0000950123-16-015248	tawCustodians	2	Kristin McCann		Gemini Fund Services LLC 17605 Wright Street Omaha  68130
0000735271-16-000003	tawSuccessors	1	Wells Fargo Shareowner Services	Y	1110 Centre Pointe Curve Suite 101  Mendota Heights  55120
0000735271-16-000003	tawCustodians	1	Wells Fargo Shareowner Services		1110 Centre Pointe Curve Suite 101  Mendota Heights  55120
0000735271-16-000003	tawRegistrant	1	Otter Tail Corporation		215 S. Cascade Street  Fergus Falls  56537
0001071069-16-000005	tawCustodians	1	ProFutures, Inc.		11719 Bee Cave Road #200  Austin  78738
0001071069-16-000005	tawRegistrant	1	ProFutures, Inc.		11719 Bee Cave Road #200  Austin  78738
