ACCESSION_NUMBER	CORP_PARTNER_TYPE	CORP_PARTNER_ID	ENTITYNAME	RELATIONSHIPSTARTDATE	TITLEORSTATUS	OWNERSHIPCODE	CONTROLPERSON	AUTHORITYDESCRIPTION	RELATIONSHIPENDDATE
0001573302-16-000014	corporationPartnership	4	Elias Anastasopoulos	08-AUG-2013	CEO and Director	NA	true		
0001573302-16-000014	corporationPartnership	1	TMX Group Inc.	08-FEB-2013	Parent Company (Direct)	E	true		
0001573302-16-000014	corporationPartnership	2	TMX Group Limited	08-FEB-2013	Parent Company (Indirect, Public Company	E	true		
0001573302-16-000014	corporationPartnership	6	Denise Chicoyne	22-DEC-2015	Director	NA	true		
0001573302-16-000014	corporationPartnership	5	Ungad Paul Singh Chadda	22-DEC-2015	Director	NA	true		
0001573302-16-000014	corporationPartnership	8	Wayne Steven Morgan Ralph	22-DEC-2015	Director	NA	true		
0001573302-16-000014	corporationPartnership	9	Paul Walter Rawlinson	22-DEC-2015	Director	NA	true		
0001573302-16-000014	corporationPartnership	10	Nicholas Thadaney	22-DEC-2015	Director	NA	true		
0001573302-16-000014	corporationPartnership	3	Michael Steven Ptasznik	08-FEB-2013	Director	NA	true		
0001573302-16-000014	corporationPartnership	7	William Warwick Linton	22-DEC-2015	Director and Chair	NA	true		
0000883757-16-000019	corporationPartnership	7	Brendan Calder	28-MAY-2014	Director	NA	true		
0000883757-16-000019	corporationPartnership	6	Michele Daphne Mary McCarthy	26-FEB-2014	Director	NA	true		
0000883757-16-000019	corporationPartnership	5	Frederic David Rounthwaite	26-FEB-2014	Director	NA	true		
0000883757-16-000019	corporationPartnership	8	Martin Ouellet	28-MAY-2014	Director	NA	true		
0000883757-16-000019	corporationPartnership	9	Calvin Alexander Younger	28-MAY-2014	Director	NA	true		
0000883757-16-000019	corporationPartnership	10	Yousry Dissada	12-AUG-2014	Director	NA	true		
0000883757-16-000019	corporationPartnership	11	William Gerard Mulvihill	12-AUG-2014	Director	NA	true		
0000883757-16-000019	corporationPartnership	12	Peter Michael Paul Friedmann	08-MAY-2015	Director	NA	true		
0000883757-16-000019	corporationPartnership	13	Stephen Howard Ellis	21-MAR-2016	Chief Compliance Officer	NA	true		
0000883757-16-000019	corporationPartnership	14	Paul Edward Bowers	10-FEB-2014	Chief Risk Officer	NA	true		
0000883757-16-000019	corporationPartnership	1	Bradley Robert Kipp	10-JUN-2008	Director	NA	true		
0000883757-16-000019	corporationPartnership	4	Stephen John Griggs	26-FEB-2014	Director	NA	true		
0000883757-16-000019	corporationPartnership	3	Michael Rhoderick Jones	26-FEB-2014	Director, President & CEO	NA	true		
0000883757-16-000019	corporationPartnership	2	Josh Reusing	01-JAN-2009	Chief Financial Officer	NA	true		
0000740583-16-000437	soleProprietorship	11	Lisa Young	30-SEP-2010	Assistant Treasurer			Officer	
0000740583-16-000437	soleProprietorship	12	Brenda Kramer	30-SEP-2010	Sr. Legal Analyst & Assistant Secretary			Officer	
0000740583-16-000437	soleProprietorship	13	Eldridge Investors, LLC	30-JUL-2010	Membership Interest Guggenheim SBC Hldgs			Indirect Interest	
0000740583-16-000437	soleProprietorship	14	Guggenheim Knights of Security, LLC	30-JUL-2010	Sole Manager-Guggenheim SBC Holdings			Indirect Interest	
0000740583-16-000437	soleProprietorship	15	Guggenheim Lawrence, LLC	30-JUL-2010	Membership Interest-Eldridge Investors			Indirect Interest	
0000740583-16-000437	soleProprietorship	16	SB Kansas Investors, LLC	30-JUL-2010	Membership Interest-Eldridge Investors			Indirect Interest	
0000740583-16-000437	soleProprietorship	17	Robert Patton	30-JUL-2010	Member SB Kansas Investors			Indirect Interest	
0000740583-16-000437	soleProprietorship	18	Paula K. Dell	05-JUN-2012	Vice President			Officer	
0000740583-16-000437	soleProprietorship	19	Claudine Sirgant	15-MAR-2013	Vice President			Officer	
0000740583-16-000437	soleProprietorship	10	Thomas M. Spencer	30-SEP-2010	Sr. Vice President, Business Development			Officer	
0000740583-16-000437	soleProprietorship	34	Edward J. Miller	18-SEP-2015	Vice President			Officer	
0000740583-16-000437	soleProprietorship	20	se2 Holdings, Inc.	21-OCT-2013	Sole Member in se2, LLC			Member	
0000740583-16-000437	soleProprietorship	32	Uday M. Tembulkar	18-SEP-2015	Vice President			Officer	
0000740583-16-000437	soleProprietorship	31	Zachary Wilson	01-JAN-2016	Vice President			Officer	
0000740583-16-000437	soleProprietorship	30	Kevin Nelson	01-JAN-2016	Vice President			Officer	
0000740583-16-000437	soleProprietorship	29	Ashish Jha	29-FEB-2016	Vice President			Officer	
0000740583-16-000437	soleProprietorship	28	Vinod Kachroo	15-JUN-2015	Sr. VP and Chief Information Officer			Officer	
0000740583-16-000437	soleProprietorship	27	NTT DATA, Inc.	26-NOV-2014	Shareholder of se2 Holdings, Inc.			Indirect Interest	
0000740583-16-000437	soleProprietorship	26	Nicholas J. Xidis	13-AUG-2014	Vice President			Officer	29-OCT-2015
0000740583-16-000437	soleProprietorship	25	Michael Masters	13-AUG-2014	Vice President			Officer	
0000740583-16-000437	soleProprietorship	24	Greg L. Herrs	22-NOV-2013	Vice President			Officer	
0000740583-16-000437	soleProprietorship	23	Kimberly A. Wingate	22-NOV-2013	VP, Assoc. General Counsel & Secretary			Officer	09-SEP-2015
