ACCESSION_NUMBER	ACTION_TYPE	ACTION_ID	ENTITYNAME	ACTIONTITLE	ACTIONDATE	COURTORBODYNAMEANDLOCATION	ACTIONDESCRIPTION	DISPOSITIONOFPROCEEDING
0000740583-16-000437	fsrViolationOfInvestmentRelatedRegulation	1	Security Distributors, Inc. (SDI)	Consent Order	13-APR-1978	New York Securities Commission	The applicant is under common control with SDI a registered broker/dealer.  The NY Securities Commission alleged that SDI failed to file renewals of its broker/dealer.	SDI consented to a $4,000 monetary fine and was ordered to cease and desist from further violations.
0000740583-16-000437	fsrViolationOfInvestmentRelatedRegulation	6	Security Benefit Life Insurance Company (SBL)	Statutory Penalty	04-FEB-2007	Commonwealth of Virginia Commissioner of Insurance (VCI)	SBL failed to timely pay agent appointment fees pursuant to VCI Regulations.	The VCI assessed a statutory penalty in the amount of $3,550 against SBL.
0000740583-16-000437	fsrViolationOfInvestmentRelatedRegulation	2	First Security Benefit Life Insurance and Annuity Company of New York (FSBL)	Stipulation No. 2010-0095-S	29-APR-2010	State of New York Insurance Department (NYID)	The NYID conducted a routine triennial market conduct exam for the period of January 1, 2004 through December 31, 2006. During such exam it found that FSBL unintentionally violated various provisions of the New York Insurance Department's replacement regulation ('Regulation 60').	FSBL entered into a stipulation and consented to a $25,000 fine and further agreed to take all steps necessary to prevent recurrence of similar Regulation 60 violations.
0000740583-16-000437	fsrViolationOfInvestmentRelatedRegulation	7	Security Benefit Life Insurance Company (SBL)	Case No. C109-2006-68675	17-MAY-2006	Alabama Department of Insurance (ADI)	On 4/4/2006, the ADI entered an Order to Show Cause against SBL regarding its failure to pay an invoice for agent appointment fees dated 1/2/2006. SBL paid outstanding invoice on 4/13/2006, and remitted a letter to the ADI explaining its non-payment was not a willful violation of ADI Regulations.	On 5/17/2006, the ADI entered an Order Lifting Order to Show Cause and Settlement Agreement. SBL consented to a $500 fine and agreed to promptly pay invoices for the continuation of producer appointments in the future.
0000740583-16-000437	fsrViolationOfInvestmentRelatedRegulation	4	Security Benefit Life Insurance Company (SBL)	Consent Order-Report ID #2186	21-MAR-2007	Minnesota Commissioner of Commerce (MN COC)	The Consent Order was the result of a consumer complaint against SBL alleging errors in the administration of an annuity contract resulting in incorrect payments being made to an annuitant, in violation of MN Statutes.	The MN COC and SBL entered into a Consent Order wherein SBL agreed to an informal disposition of the matter without a hearing and paid a civil penalty of $2,500.
0000740583-16-000437	fsrViolationOfInvestmentRelatedRegulation	5	Security Benefit Life Insurance Company (SBL)	Consent Order	12-DEC-2005	State of Nevada Division of Insurance (NDI)	SBL failed to timely file an Annual Certification of Advertising as required by NDI Regulations.	SBL consented to a fine of $500 to settle the cause.
0000740583-16-000437	fsrViolationOfInvestmentRelatedRegulation	3	Security Benefit Life Insurance Company (SBL)	Stipulation & Consent Order	08-MAY-2009	Illinois Dept of Financial & Professional Regulation-Division of Insurance	SBL failed to timely file a Policy In Form Mandatory Annual Statement Supplement Data Call as required by IL Div. of Insurance Regulations.	SBL and the IL Div. of Insurance entered into a Stipulation & Consent Order agreeing to a $2,000 fine and SBL agreed to comply with the Regulation in future.
0001018490-16-000034	sraViolationOfRules	79	Deutsche Bank Securities Inc., a Control Affiliate of the Registrant	20090174106-01	26-NOV-2012	Financial Industry Regulatory Authority ('FINRA')	The Registrant has not been the subject of this matter: Date Initiated: 11/26/2012. FINRA alleged that Deutsche Bank Securities Inc. ('DBSI'), (a) in seven transaction pairs between October 1, 2008 and December 31, 2008, the Firm sold corporate bonds to customers and failed to sell such bonds at a price that was fair, taking into consideration all relevant circumstances, in violation of NASD Rules 2110, 2440 and IM-2440; (b) from March 14, 2008 to April 15, 2010, on 29 settlement dates, the Firm submitted to FINRA inaccurate short interest position reports in violation of NASD Rule 3360, NYSE Rule 421, and FINRA Rule 4560 (for settlement dates on or after December 15, 2008); (c) during the periods January 14, 2008 through March 31, 2008 and July 8, 2008 through September 30, 2008, the Firm transmitted to the FNTRF 70 last sale reports of transactions in designated securities and failed to designate such reports as reflecting a price different from the current market when the execution was based on a prior reference point in time in violation of NASD Rule 4632(A)(5)(G). The Firm also failed to designate as 'W' to the FNTRF 13 last sales reports of transactions in NMS securities that occurred at prices based on an average weighting or another special pricing formula in violation of NASD Rule 4632(A)(5)(E) and failed to report the correct time of execution to the FNTRF in 78 last sale reports of transactions in designated securities in violation of NASD Rule 4632(C)(5); (d) during the period May 1, 2010 through May 31, 2010, the Firm failed to show the correct terms and conditions on the memorandum of 41 brokerage orders in violation of SEC Rule 17A-3 and NASD Rule 3110; (e) during the period July 1, 2010 through September 30, 2010, the Firm failed to report the correct time of trade to the RTRS in 24 reports of transactions in municipal securities in violation of MSRB Rule G-14(B)(II). The Firm also failed to report information regarding 24 purchase and sale transactions effected in municipal securities to the RTRS in the manner prescribed by Rule G-14 RTRS procedures and the RTRS Users Manual in violation of MSRB Rule G-14, and in 23 instances, the Firm improperly reported information to the RTRS that it was not required to report in violation of MSRB Rule G-14. The firm also failed to show the correct time of execution on the memorandum of 24 brokerage orders in municipal securities in violation of MSRB Rule G-8. (f) During the period April 1, 2010 through June 30, 2010, the Firm failed to repair 3,041 rejected ROES transmitted to OATS in violation of FINRA Rule 7450. (g) During the period May 1, 2010 through August 31, 2010, the Firm failed to accept or decline in the FNTRF 126 transactions in reportable securities within 20 minutes after execution in violation of FINRA Rule 7230a; (h) during the period July 1, 2010 through September 30, 2010, in 49 instances the Firm improperly reported information to the RTRS that it should not have in violation of MSRB Rule G-14; and (i) during the period July 1, 2011 through September 30, 2011 the Firm failed to report to TRACE 629 S1 transactions within 15 minutes of the time of execution in violation of FINRA Rule 6730( A) and FINRA Rule 2010. Without admitting or denying the allegations DBSI agreed to a letter of acceptance, waiver and consent ('AWC') consenting to a censure and fine. The fine of $175,000 was comprised of $20,000 for the fair pricing violations; $50,000 for the short interest reporting violations; $22,500 for the trade reporting violations; $5,000 for the books and records violations; $12,500 for the violations of MSRB Rule G-14 and $2,500 for the violations of MSRB Rule G-8; 12,500 for the OATS violations; $22,500 for the trade reporting violations; $22,500 for the violations of MSRB Rule G-14; and $5,000 for the TRACE reporting violations. Restitution in a total amount of $10,314.44 plus statutory interest to customers in connection with the fair pricing violations.	DBSI consented to a censure and fine of $175,000.00 plus interest restitution of $10,314.44. The fine was paid on December 13, 2012.
0001018490-16-000034	sraViolationOfRules	80	Deutsche Bank Securities Inc., a Control Affiliate of the Registrant	2008016167401	21-NOV-2012	Financial Industry Regulatory Authority ('FINRA')	The Registrant has not been the subject of this matter: Date Initiated: 11/21/2012.  FINRA alleged that Deutsche Bank Securities Inc. ('DBSI') from July 2006 through December 15, 2008, failed to report approximately 8,760 options positions in conventional options to the LOPR in violation of NASD Rule 2860(B)(5). Also between March 23, 2011 and March 30, 2011, one of the Firm's customers exceeded the position limit in HK939 in violation of FINRA Rule 2360(b)(3) and the Firm failed to submit to the OCC its OCEND for approximately two months from March 23, 2011 through May 31, 2011 in violation of FINRA Rule 2360(B)(3)(A)(VII)(B)(4)(B). In addition, from December 1, 2010 through October 6, 2011 the Firm failed to accurately report approximately 20,542 options positions in conventional options to the LOPR in violation of FINRA Rule 2360(B)(5), and from July 2006 to December 2011, the Firm failed to implement and maintain an adequate system of follow-up and review designed to reasonable ensure the submission of complete and accurate LOPR in violation of NASD Rule 3010, NASD 2110 and FINRA Rule 2010. Without admitting or denying the allegations, DBSI agreed to a letter of acceptance, waiver and consent ('AWC') consenting to a censure and fine of $35,000.00. DBSI consented to a censure and a fine of $35,000. The fine was paid on December 12, 2012.	Without admitting or denying the allegations, DBSI consented to a censure and a fine of $35,000. The fine was paid on December 12, 2012.
0001018490-16-000034	sraViolationOfRules	81	Deutsche Bank Securities Inc. ('DBSI' or 'Firm') , a Control Affiliate of the Registrant	20080136798-01	14-DEC-2012	Financial Industry Regulatory Authority ('FINRA')	In reference to the 'Title of Action' noted above, please see response to question 10(e)(1)(v).	In reference to the 'Title of Action' noted above, please see response to question 10(e)(1)(vi).
0001018490-16-000034	sraViolationOfRules	82	Deutsche Bank Securities Inc. ('DBSI'), a Control Affiliate of the Registrant	2011029270401	31-DEC-2012	Financial Industry Regulatory Authority ('FINRA')	The Registrant has not been the subject of this matter: Date Initiated: 12/31/2012.  FINRA alleged that during the period January 1, 2009 through June, 30, 2011, Deutsche Bank Securities Inc. ('DBSI') failed to deliver certain mutual fund prospectuses to DBSI customers within three business days of their purchases, and DBSI failed to establish and maintain adequate supervisory systems and written supervisory procedures reasonably designed to monitor and ensure the timely delivery of mutual fund prospectuses. It was also alleged that during the period January 1, 2011 through May 31, 2011, DBSI failed to deliver certain preliminary IPO prospectuses to DBSI customers, and DBSI failed to establish and maintain adequate supervisory systems and written supervisory procedures reasonably designed to monitor and ensure the timely delivery of preliminary IPO prospectuses. Accordingly, FINRA found that DBSI violated NASD Conduct Rules 3010(A)(1) and (B)(1) and FINRA Rule 2010. Without admitting or denying the allegations, DBSI agreed to a letter of acceptance, waiver and consent ('AWC') consenting to a censure and fine of $125,000.00. DBSI consented to a censure and fine of $125,000.00. The fine was paid on 1/9/2013.	DBSI consented to a censure and fine of $125,000.00. The fine was paid on 1/9/2013.
