ACCESSION_NUMBER	ACTION_TYPE	ACTION_ID	ENTITYNAME	ACTIONTITLE	ACTIONDATE	COURTORBODYNAMEANDLOCATION	ACTIONDESCRIPTION	DISPOSITIONOFPROCEEDING
0000810704-08-000015	violationOfRegulations	1	Citigroup Global Markets Inc.	SEC Administrative and Cease-and-Desist Order	23-MAR-2005	Securities and Exchange Commission	On March 23, 2005 the SEC entered an administrative and cease-and-desist order against Citigroup Global Markets Inc. (CGMI'), a control affiliate of Applicant. The order finds CGMI willfully violated Section 17(a)(2) of the Securities Act of 1933 and Rule 10b-10 promulgated under the Securities Exchange Act of 1934. The order finds that there were two distinct disclosure failures by CGMI in the offer and sale of mutual fund shares to its customers. First, CGMI did not adequately disclose its revenue sharing program whereby CGMI received from advisers and distributors associated with certain mutual fund complexes revenue sharing payments in exchange for which CGMI granted mutual funds access to, or increased visibility in, CGMI retail distribution network. Second, CGMI failed to disclose adequately at the point of sale, in connection with recommendations to customers to buy Class B shares, that such shares were subject to higher annual fees and that those fees could have a negative impact on the customers' investment returns depending on amount invested and the intended holding period. The Order censured CGMI, required that CGMI cease and desist from committing or causing violations and future violations of Section 17(a) of the Securities Act and Exchange Act Rule 10b-10, and required that CGMI pay a $20 million civil money penalty.	Affiliate is responsible for making necessary disclosures and status.
0000810704-08-000015	violationOfRegulations	2	Smith Barney Fund Management LLC and Citigroup Global Markets Inc.	SEC Administrative and Cease-and-Desist Order	31-MAY-2005	Securities and Exchange Commission	On May 31, 2005, the SEC entered an administrative cease-and-desist order finding that Smith Barney Fund Management LLC('SBFM') and Citigroup Global Markets Inc. ('CGMI'), both control affiliates of Applicant, willfully violated Sections 206(1) and 206(2) of the Investment Advisers Act of 1940 in connection with securing approval by the Boards of the Smith Barney family of mutual funds (the 'Funds') of the appointment of a new, affiliated transfer agent. The SEC Order finds that SBFM and CGMI failed to disclose to the Boards a revenue guarantee associated with the new agreement or an offer made by the then-existing transfer agent to continue to perform its work at a discount. The SEC Order further finds that SBFM and CGMI made other omissions and misrepresentations to the Boards in connection with the creation, operation, and compensation of the new arrangement. Based on these findings, the Order censured SBFM and CGMI, required both to cease and desist from committing or causing violations of Sections 206(1) and 206(2) of the Investment Advisors Act of 1940, required that both disgorge, on a joint and several basis, $109 million plus prejudgment interest of $19.1 million, and required that SBFM pay an $80 million civil money penalty.	Affiliate is responsible for making necessary disclosures and status.
0000810704-08-000015	falseStatementOrOmission	2	Smith Barney Fund Management LLC and Citigroup Global Markets Inc.	SEC Administrative and Cease-and Desist Order	31-MAY-2005	Securities and Exchange Commission	On May 31, 2005, the SEC entered an administrative cease-and-desist order finding that Smith Barney Fund Management LLC('SBFM') and Citigroup Global Markets Inc. ('CGMI'), both control affiliates of Applicant, willfully violated Sections 206(1) and 206(2) of the Investment Advisers Act of 1940 in connection with securing approval by the Boards of the Smith Barney family of mutual funds (the 'Funds') of the appointment of a new, affiliated transfer agent. The SEC Order finds that SBFM and CGMI failed to disclose to the Boards a revenue guarantee associated with the new agreement or an offer made by the then-existing transfer agent to continue to perform its work at a discount. The SEC Order further finds that SBFM and CGMI made other omissions and misrepresentations to the Boards in connection with the creation, operation, and compensation of the new arrangement. Based on these findings, the Order censured SBFM and CGMI, required both to cease and desist from committing or causing violations of Sections 206(1) and 206(2) of the Investment Advisors Act of 1940, required that both disgorge, on a joint and several basis, $109 million plus prejudgment interest of $19.1 million, and required that SBFM pay an $80 million civil money penalty.	Affiliate is responsible for making necessary disclosures and status.
0000810704-08-000015	sraViolationOfRules	1	Citigroup Global Markets Inc.	NASD Letter of Acceptance, Waiver and Consent	22-MAR-2005	National Association of Security Dealers - NASD [nka FINRA]	On March 22, 2005 the NASD accepted a Letter of Acceptance, Waiver and Consent dated March 18, 2005 (the 'AWC') submitted by Citigroup Global Markets Inc. ('CGMI'), a control affiliate of Registrant. Without admitting or denying the findings, CGMI accepted and consented, prior to a hearing and without an adjudication of any issue of law or fact, to the entry of findings by NASD. In particular, NASD found that, in connection with its sale of Class B and Class C mutual fund shares to its customers, CGMI, through its registered representatives, known as financial consultants ('FCs'), either did not adequately disclose at the point of sale, or did not adequately consider in connection with its recommendations to customers to purchase Class B and Class C shares, the differences in share classes and that an equal investment in Class A shares would generally have been more advantageous for the customers. NASD further found that CGMI's supervisory and compliance policies and procedures were not reasonably designed to ensure that FC's consistently provided adequate disclosure or, or consideration to, the benefits of the various share classes as they applied to individual customers. As a result of such conduct, NASD found that CGMI had violated NASD Conduct Rules 2110, 2310, and 3010. Based on its findings and with CGMI's consent, NASD, censured CGMI and fined it $6.25 million. In the AWC, CGMI also agreed to complete certain undertakings, including retaining an Independent Consultant, among other things, to conduct a comprehensive review of the completeness of its disclosures regarding the differences in mutual fund share classes and the policies and procedures relating to CGMI's recommendations to its customers of different class shares of mutual funds.	Affiliate is responsible for making necessary disclosures and status.
0000810704-08-000015	falseStatementOrOmission	1	Citigroup Global Markets Inc.	SEC Administrative and Cease-and-Desist Order	23-MAR-2005	Securities and Exchange Commission	On March 23, 2005 the SEC entered an administrative and cease-and-desist order against Citigroup Global Markets Inc. (CGMI'), a control affiliate of Applicant. The order finds CGMI willfully violated Section 17(a)(2) of the Securities Act of 1933 and Rule 10b-10 promulgated under the Securities Exchange Act of 1934. The order finds that there were two distinct disclosure failures by CGMI in the offer and sale of mutual fund shares to its customers. First, CGMI did not adequately disclose its revenue sharing program whereby CGMI received from advisers and distributors associated with certain mutual fund complexes revenue sharing payments in exchange for which CGMI granted mutual funds access to, or increased visibility in, CGMI retail distribution network. Second, CGMI failed to disclose adequately at the point of sale, in connection with recommendations to customers to buy Class B shares, that such shares were subject to higher annual fees and that those fees could have a negative impact on the customers' investment returns depending on amount invested and the intended holding period. The Order censured CGMI, required that CGMI cease and desist from committing or causing violations and future violations of Section 17(a) of the Securities Act and Exchange Act Rule 10b-10, and required that CGMI pay a $20 million civil money penalty.	Affiliate is responsible for making necessary disclosures and status.
0000810704-08-000015	sraFalseStatementOrOmission	1	Citigroup Global Markets Inc.	NASC Letter of Acceptance, Waiver and Consent	22-MAR-2005	National Association of Security Dealers - NASD [nka FINRA]	On March 22, 2005 the NASD accepted a Letter of Acceptance, Waiver and Consent dated March 18, 2005 (the 'AWC') submitted by Citigroup Global Markets Inc. ('CGMI'), a control affiliate of Registrant. Without admitting or denying the findings, CGMI accepted and consented, prior to a hearing and without an adjudication of any issue of law or fact, to the entry of findings by NASD. In particular, NASD found that, in connection with its sale of Class B and Class C mutual fund shares to its customers, CGMI, through its registered representatives, known as financial consultants ('FCs'), either did not adequately disclose at the point of sale, or did not adequately consider in connection with its recommendations to customers to purchase Class B and Class C shares, the differences in share classes and that an equal investment in Class A shares would generally have been more advantageous for the customers. NASD further found that CGMI's supervisory and compliance policies and procedures were not reasonably designed to ensure that FC's consistently provided adequate disclosure or, or consideration to, the benefits of the various share classes as they applied to individual customers. As a result of such conduct, NASD found that CGMI had violated NASD Conduct Rules 2110, 2310, and 3010. Based on its findings and with CGMI's consent, NASD, censured CGMI and fined it $6.25 million. In the AWC, CGMI also agreed to complete certain undertakings, including retaining an Independent Consultant, among other things, to conduct a comprehensive review of the completeness of its disclosures regarding the differences in mutual fund share classes and the policies and procedures relating to CGMI's recommendations to its customers of different class shares of mutual funds.	Affiliate is responsible for making necessary disclosures and status.
0001018490-08-000017	felonyOrMisdemeanor	2	Deutsche Bank AG, a Control Affiliate of the Registrant	Oslo Incident	20-FEB-2004	Oslo Police District, Section of Finance and Environmental Crime	The Registrant has not been the subject of this matter: Initiation date: 01/07/2004. Deutsche Bank AG, a Control Affiliate of the Registrant was charged by the Oslo Police District with failure to file appropriate notices with the Oslo Stock Exchange within the time period required after stock and option purchases that caused holdings by Deutsche Bank AG to exceed levels specified by Norwegian regulation. The Financial Supervisory Authority of Norway, a financial regulatory authority, did not make a final conclusion that a violation had occurred. Instead, as required by Norwegian law, any such finding must be made by the relevant police authority, in this case the Oslo Police District which is not a financial regulator. The Police District determined to resolve this matter by accepting a fine in lieu of prosecution. Accepting such a fine is deemed as a settlement of the case and is categorized as a misdemeanor under Norwegian law. Settlement and monetary fine of USD $4,300 was paid.	Settlement and monetary fine of USD $4,300 was paid.
0001018490-08-000017	falseStatementOrOmission	1	Deutsche Bank Securities Inc. ('DBSI'), a Control Affiliate of the Registrant	File No. 3-12514	19-JAN-2007	United States Securities and  Exchange Commission.	The Registrant has not been the subject of this matter: Amended filing date: 12/21/2006. On December 21, 2006 the SEC instituted and settled an administrative proceeding against Deutsche Bank Securities Inc. ('DBSI') in connection with DBSI's alleged failure to properly supervise one of its former registered representatives who had engaged in deceptive market timing of mutual fund shares in client accounts. The SEC further alleged that DBSI, through the conduct of the former registered representative, violated Rule 22C-1(A), as adopted under section 22(C) of the Investment Company Act of 1940 by the conduct of the former registered representative entering late trades for at least one customer. The SEC alleged that the former registered representative received and entered orders to purchase, redeem or exchange mutual fund shares for the 4:00 P.M. eastern time market close on certain occasions where customer orders received before 4:00 P.M. were blocked by fund companies as market timing trades. The customer orders entered into after 4:00 P.M. served as substitute orders for those that had been previously received and blocked before 4:00 P.M. The SEC also alleged that DBSI violated Section 15(B)(4)(E) of the Exchange Act because it allegedly failed to properly supervise the former registered representative who had engaged in the conduct. On December 21, 2006 the SEC also issued an order under Rule 602(E) of the Securities Act of 1933 on behalf of Deutsche Asset Management, Inc., Deutsche Investment Management Americas, Inc., and Deutsche Bank Securities Inc., granting a waiver of the disqualification provision of Rule 602(C)(3). Without admitting or denying the SEC's allegations or findings, DBSI agreed to total payment of $442,954, consisting of $202,835 in disgorgement, $202,835 in civil penalty, and $37,284 in prejudgment interest. The fine of $442,954 was paid on January 19, 2007.	Without admitting or denying the SEC's allegations or findings, DBSI agreed to total payment of $442,954, consisting of $202,835 in disgorgement, $202,835 in civil penalty, and $37,284 in prejudgment interest. The fine was paid on January 19, 2007.
0001018490-08-000017	falseStatementOrOmission	2	Deutsche Investment Management Americas Inc. ('DIMA') and Deutsche Asset Management Inc. ('DAMI'), Control Affiliates of the Registrant	Docket/Case Number: 3-12513	21-DEC-2006	United States Securities and Exchange Commission	The Registrant has not been the subject of this matter: Initiation date: 12/21/2006. Deutsche Investment Management Americas Inc. ('DIMA'), and Deutsche Asset Management, Inc. ('DAMI') which merged into DIMA as of 12/31/2006, serve as investment advisors to the DWS Scudder Funds. The SEC alleged DIMA and DAMI breached their fiduciary duty to certain DWS Scudder Funds by failing to effectively limit trading activity in DWS Scudder Funds. The SEC also alleged that DIMA and DAMI breached their fiduciary duty to certain DWS Scudder Funds by entering into market timing arrangements with investors. The SEC censured DIMA and DAMI and ordered DIMA and DAMI to pay $17.2 million in disgorgement, which will be deemed to be paid through payments made under a separate order by the New York Attorney General. The SEC also issued a cease and desist order against DIMA and DAMI. DIMA and DAMI are subject to certain undertakings regarding the conduct of its business in the future, including: formation of a code of ethics oversight committee to oversee all matters relating to issues arising under DIMA and DAMI's code of ethics; establishment of an internal compliance controls committee having overall compliance oversight responsibility of DIMA and DAMI; engagement of an independent compliance consultant to conduct a comprehensive review of the DIMA and DAMI's supervisory compliance and other policies and procedures designed to prevent and detect breaches of fiduciary duty, breaches of the code of ethics and Federal Securities Law violations by DIMA and DAMI and their employees; and within 120 days and in 2008, DIMA and DAMI shall undergo a compliance review by an independent third party. DIMA and DAMI were ordered to pay, jointly and severally, $17.2 million in disgorgement. The entire amount is to be distributed to the affected DWS Scudder Funds.	DIMA and DAMI were ordered to pay, jointly and severally, $17.2 million in disgorgement. The entire amount is to be distributed to the affected DWS Scudder Funds.
0001018490-08-000017	enjoinedInvestmentRelatedActivity	1	Deutsche Bank Securities Inc. ('DBSI'), a Control Affiliate of the Registrant	US District Court SDNY Civ. Action No. 04 Civ. 06909 (WHP)	24-SEP-2004	United States Securities and Exchange Commission	The Registrant has not been the subject of this matter: The SEC charged violations of Section 17(B) of the Securities Act, Section 17(B) of the Exchange Act, NASD Rules 2110, 2210(D)(1), and 2210(D)(2), and NYSE Rules 401, 472, and 476(A)(6), in connection with alleged conflicts of interest resulting from investment banking influence over research analysts; the issuance of research reports affected by those alleged conflicts of interest; payments to and from other securities firms and the receipt of payments from issuers allegedly for research; and the non-disclosure of such payments. The SEC also charged violations of NASD Rule 3010 and NYSE Rule 342 for allegedly not adequately supervising its research analysts in order to prevent conflicts of interest, as well as NASD Rule 2110 and NYSE Rule 476(A)(11) for allegedly not promptly producing e-mail. The current status is closed on September 24, 2004. Without admitting or denying the allegations, DBSI agreed to the entry of a final judgment and permanent injunction, and to pay $87.5 million. The SEC charged violations of Section 17(B) of the Securities Act, Section 17(B) of the Exchange Act, NASD Rules 2110, 2210(D)(1), and 2210(D)(2), and NYSE Rules 401, 472, and 476(A)(6), in connection with alleged conflicts of interest resulting from investment banking influence over research analysts; the issuance of research reports affected by those alleged conflicts of interest; payments to and from other securities firms and the receipt of payments from issuers allegedly for research; and the non-disclosure of such payments. The SEC also charged violations of NASD Rule 3010 and NYSE Rule 342 for allegedly not adequately supervising its research analysts in order to prevent conflicts of interest, as well as NASD Rule 2110 and NYSE Rule 476(A)(11) for allegedly not promptly producing e-mail.  DBSI agreement included undertakings with respect to the separation of research and investment banking; mandatory disclosures to be included in research reports, and transparency of research analysts' ratings and projections; and the use of independent, third-party research services.  DBSI was permanently enjoined by the U.S. District Court from certain violations of Section 17(B) of the Securities Act, Section 17(B) of the Exchange Act, as well as NASD Rules 2110, 2210(D)(1), 2210(D)(2), and 3010 and NYSE Rules 342, 401, 472, and 476(A)(6). DBSI agreed to pay: (I) $50 million, offset in the amount of $25 million to be paid pursuant to agreements with state regulators in related proceedings; (II) $25 million to fund the provision of independent research to investors (payable over the next five years); (III) $5 million to promote investor education (payable over the next five years); and (IV) $7.5 million in connection with allegations concerning Section 17(B) of the Exchange Act.	Without admitting or denying the allegations, DBSI agreed to the entry of a final judgment and permanent injunction, and to pay $87.5 million.  DBSI agreement included certain undertakings.
