ACCESSION_NUMBER	CORP_PARTNER_TYPE	CORP_PARTNER_ID	ENTITYNAME	RELATIONSHIPSTARTDATE	TITLEORSTATUS	OWNERSHIPCODE	CONTROLPERSON	AUTHORITYDESCRIPTION	RELATIONSHIPENDDATE
0001007444-16-000058	soleProprietorship	6	Dan Hogan Arnold, Jr.	01-MAY-2012	President			President	
0001007444-16-000058	soleProprietorship	32	Suzanne Elizabeth Auletta	18-SEP-2015	Executive Vice President			Chief Compliance Officer, Brokerage	
0001007444-16-000058	soleProprietorship	31	Matthew Jon Audette	28-SEP-2015	Chief Financial Officer			Chief Financial Officer	
0001007444-16-000058	soleProprietorship	30	Thomas Andrew Gooley	10-JUL-2015	Managing Director			Service, Trading and Operations	
0001007444-16-000058	soleProprietorship	29	Thomas Dominic Lux	16-MAR-2015	Executive Vice President			Chief Financial Officer	28-SEP-2015
0001007444-16-000058	soleProprietorship	28	Ryan Christopher Parker	01-JUN-2014	Managing Director			Investment and Planning Solutions	03-JUN-2016
0001007444-16-000058	soleProprietorship	27	Mary Frances Schott	01-JUN-2014	Managing Director			Client Experience and Training	29-MAR-2016
0001007444-16-000058	soleProprietorship	26	Becky Shulman	06-JUN-2011	Managing Director			Deputy CFO	21-NOV-2011
0001007444-16-000058	soleProprietorship	25	Derek Bruton	01-MAR-2010	Managing Director			National Sales	04-APR-2014
0001007444-16-000058	soleProprietorship	24	Abdiel Alan Valenzuela	21-MAY-2009	VP - Advisory			Chief Compliance Officer, Advisory	01-MAY-2011
0001007444-16-000058	soleProprietorship	23	John J. McDermott Jr.	27-JUL-2009	Managing Director			Chief Risk Officer	13-SEP-2013
0001007444-16-000058	soleProprietorship	22	Kathy VanNoy-Pineda	21-MAY-2009	EVP			Chief Compliance Officer, Brokerage	01-JAN-2014
0001007444-16-000058	soleProprietorship	21	Christopher F. Feeney	28-JAN-2008	Managing Director			Chief Information Officer	31-DEC-2012
0001007444-16-000058	soleProprietorship	20	Jonathan Eaton	01-JAN-2008	Managing Director			Retirement Planning	30-JUN-2012
0001007444-16-000058	soleProprietorship	19	Denise Abood	01-JAN-2008	Managing Director			Human Capital	30-JUN-2012
0001007444-16-000058	soleProprietorship	18	William Edward Dwyer III	01-JAN-2004	Managing Director			National Sales	01-MAR-2013
0001007444-16-000058	soleProprietorship	17	Esther Marion Stearns	01-MAR-2007	Chief Operating Officer			President	01-MAY-2012
0001007444-16-000058	soleProprietorship	16	Stephanie Leigh Brown	01-MAR-2004	Managing Director			General Counsel	19-AUG-2013
0001007444-16-000058	soleProprietorship	15	William P. Morrissey, Jr.	01-APR-2014	Managing Director & Divisional President			Independent Advisor Services	
0001007444-16-000058	soleProprietorship	14	Mark Stephen Casady	01-DEC-2005	Chairman of the Board and CEO			Chief Executive Officer	
0001007444-16-000058	soleProprietorship	13	Victor Peter Fetter, III	01-DEC-2012	Managing Director			Chief Information Officer	
0001007444-16-000058	soleProprietorship	12	Sallie Rebecca Larsen	01-MAY-2012	Managing Director			Chief Human Capital Officer	
0001007444-16-000058	soleProprietorship	1	LPL Holdings, Inc.	01-APR-1989	Managing Member			Parent Company	
0001007444-16-000058	soleProprietorship	2	Mark Robert Helliker	01-AUG-2008	Managing Director			Client Support Services	01-AUG-2015
0001007444-16-000058	soleProprietorship	3	Robert Joseph Moore	01-MAY-2012	President and Director			Advisor & Institution Solutions	16-MAR-2015
0001007444-16-000058	soleProprietorship	4	Sharyn J. Handelsman	01-JAN-2014	Managing Director			Chief Compliance Officer, Brokerage	12-JUN-2015
0001007444-16-000058	soleProprietorship	5	George Burton White	01-NOV-2007	Managing Director			Chief Investment Officer	
0001007444-16-000058	soleProprietorship	33	Tracy Ellen Calder	25-JAN-2016	Managing Director			Deputy Chief Risk Officer	
0001007444-16-000058	soleProprietorship	7	David Paul Bergers	01-AUG-2013	Managing Director			Legal and Government Relations	
0001007444-16-000058	soleProprietorship	8	Michelle Oroschakoff	01-SEP-2013	Managing Director			Chief Risk Officer	
0001007444-16-000058	soleProprietorship	9	Paul Middlemiss	01-MAY-2011	Executive Vice President			Chief Compliance Officer, Advisory	
0001007444-16-000058	soleProprietorship	10	John Andrew Kalbaugh	01-MAR-2010	Managing Director & Divisional President			Institution Services	
0001007444-16-000058	soleProprietorship	11	Joan Dominy Khoury	01-MAY-2012	Managing Director			Chief Marketing Officer	01-JUN-2014
0001451217-16-000009	corporationPartnership	22	Teresa Curley	24-MAY-2016	Vice President	NA	false		
0001451217-16-000009	corporationPartnership	1	Al DelPizzo	30-MAY-2008	President	NA	false		23-FEB-2016
0001451217-16-000009	corporationPartnership	20	Philip McCabe	03-OCT-2012	Director and Senior Vice President	NA	true		
0001451217-16-000009	corporationPartnership	19	James Ndiaye	30-MAY-2008	Vice President and Assistant Secretay	NA	false		01-MAR-2012
0001451217-16-000009	corporationPartnership	18	Brent N. Vasher	20-DEC-2010	Vice President	NA	false		
0001451217-16-000009	corporationPartnership	17	Mark F. McManus	20-DEC-2010	Vice President	NA	false		
0001451217-16-000009	corporationPartnership	16	Stephen Meyer	03-JUN-2010	Director and Senior Vice President	NA	true		
0001451217-16-000009	corporationPartnership	15	Mark Nagle	30-MAY-2008	Director and Senior Vice President	NA	false		03-OCT-2012
0001451217-16-000009	corporationPartnership	14	SEI Investments Company	30-MAY-2008	Ultimate Parent Company	E	true		
0001451217-16-000009	corporationPartnership	13	SEI Investments Management Corporation	30-MAY-2008	Direct Parent Company	E	true		
0001451217-16-000009	corporationPartnership	12	Jay Cipriano	30-MAY-2008	Vice President	NA	false		
0001451217-16-000009	corporationPartnership	11	Phillip Masterson	30-MAY-2008	Vice President	NA	false		
0001451217-16-000009	corporationPartnership	10	Bridget Jensen	04-MAR-2009	Vice President	NA	false		
0001451217-16-000009	corporationPartnership	9	Robert Muse	04-MAR-2009	President	NA	false		
0001451217-16-000009	corporationPartnership	8	James F. Volk	30-MAY-2008	Chief Compliance Officer	NA	false		03-OCT-2014
0001451217-16-000009	corporationPartnership	7	David McCann	04-MAR-2009	Vice President and Assistant Secretary	NA	false		
0001451217-16-000009	corporationPartnership	6	Aaron Buser	30-MAY-2008	Vice President and Assistant Secretary	NA	false		
0001451217-16-000009	corporationPartnership	5	Dennis McGonigle	30-MAY-2008	Director and Senior Vice President	NA	true		
0001451217-16-000009	corporationPartnership	4	Jeffery Klauder	30-MAY-2008	Director and Senior Vice President	NA	true		
0001451217-16-000009	corporationPartnership	3	Robert Silvestri	30-MAY-2008	Treasurer	NA	false		
0001451217-16-000009	corporationPartnership	2	Timothy Barto	30-MAY-2008	General Counsel and Secretary	NA	false		
0001451217-16-000009	corporationPartnership	21	Keith Dietel	03-OCT-2014	Chief Compliance Officer	NA	false		
0000896852-16-000045	corporationPartnership	1	Philip Alexander Taylor	01-JAN-2011	Director	NA	true		
0000896852-16-000045	corporationPartnership	23	Jason MacKay	21-APR-2016	SVP, National Sales Manager	NA	true		
0000896852-16-000045	corporationPartnership	3	Philip Alexander Taylor	26-MAY-2011	Chairman	NA	true		
0000896852-16-000045	corporationPartnership	4	David Colvin Warren	01-JAN-2011	Director, CFO and Executive VP	NA	true		
0000896852-16-000045	corporationPartnership	5	Pietro Peter Intraligi	01-JAN-2011	Director	NA	true		
0000896852-16-000045	corporationPartnership	6	Pietro Peter Intraligi	01-JAN-2011	President	NA	true		
0000896852-16-000045	corporationPartnership	7	Pietro Peter Intraligi	01-JAN-2011	Chief Operating Officer	NA	true		
0000896852-16-000045	corporationPartnership	8	Annie Ping Ting Chong Chew	01-JAN-2011	Global Head of Portfolio Services	NA	true		
0000896852-16-000045	corporationPartnership	9	Harsh Damani	01-JAN-2011	Sr VP Fund Administration	NA	true		
0000896852-16-000045	corporationPartnership	10	Eric Jeffrey Adelson	01-JAN-2011	Director	NA	true		
0000896852-16-000045	corporationPartnership	11	Eric Jeffrey Adelson	26-MAY-2011	Sr VP Head of Legal Canada	NA	true		
0000896852-16-000045	corporationPartnership	12	Eric Jeffrey Adelson	01-JAN-2011	Secretary	NA	true		
0000896852-16-000045	corporationPartnership	18	David Moore Geneva	10-NOV-2011	Director	NA	true		
0000896852-16-000045	corporationPartnership	13	John Dimitrios Maniatis	01-JAN-2011	Sr VP Marketing Communications	NA	true		
0000896852-16-000045	corporationPartnership	14	James Charles Russell	01-JAN-2011	Senior Officer	NA	true		
0000896852-16-000045	corporationPartnership	15	James Douglas Kingston	01-JAN-2011	Hd of Americas Product Mgmt & Inv Anaysi	NA	true		
0000896852-16-000045	corporationPartnership	16	Invesco Canada Holdings, Inc.	01-JAN-2011	Sole Voting Shareholder	E	true		
0000896852-16-000045	corporationPartnership	17	Florbela Flora Coimbra De Sousa	02-AUG-2011	Vice President, Human Resources	NA	true		
0000896852-16-000045	corporationPartnership	19	Daniela Nalli	03-DEC-2012	Chief Compliance Officer	NA	true		
0000896852-16-000045	corporationPartnership	20	Harsh Damani	01-JAN-2013	CFO Funds	NA	true		
0000896852-16-000045	corporationPartnership	21	Robert Brett Mikalachki	13-APR-2015	Chief Investment Officer	NA	true		
0000896852-16-000045	corporationPartnership	22	Michael Henry Peck	20-JUL-2015	Sr VP Institutional Investments	NA	true		
0000896852-16-000045	corporationPartnership	2	Philip Alexander Taylor	01-JAN-2011	Chief Executive Officer	NA	true		
0001676177-16-000001	corporationPartnership	1	Cristina Moreno	04-APR-2016	CEO	E	true		
0000737074-16-000010	corporationPartnership	1	Terri L. Luensmann	31-DEC-2002	Vice President	NA	true		
0000737074-16-000010	corporationPartnership	2	United Services Automobile Association	01-OCT-1992	Indirect Owner	NA	true		
0000737074-16-000010	corporationPartnership	3	USAA Capital Corporation	01-OCT-1992	Indirect Owner	NA	true		
0000737074-16-000010	corporationPartnership	4	USAA Investment Corporation	01-OCT-1992	Shareholder	E	true		
0000737074-16-000010	corporationPartnership	5	Daniel McNamara	09-OCT-2009	Director, President, Chair of the Board	NA	true		
0000737074-16-000010	corporationPartnership	11	Charles B. Massey	06-JUN-2016	Assistant Vice President	NA	true		
0000737074-16-000010	corporationPartnership	7	James G. Whetzel	08-MAY-2013	Secretary	NA	true		
0000737074-16-000010	corporationPartnership	8	Brody Merrill	18-NOV-2013	Senior Financial Officer and Treasurer	NA	true		06-MAR-2016
0000737074-16-000010	corporationPartnership	9	Brooks Englehardt	26-MAR-2015	Director	NA	true		
0000737074-16-000010	corporationPartnership	10	Diana Dominguez	06-MAR-2016	Senior Financial Officer and Treasurer	NA	true		
0000737074-16-000010	corporationPartnership	6	Charles K. Craft	24-JUN-2010	Director and Vice President	NA	true		
0000810704-16-000014	corporationPartnership	16	James Alexander Tayor	16-MAY-2016	Assistant Secretary	NA	false		
