ACCESSION_NUMBER	CORP_PARTNER_TYPE	CORP_PARTNER_ID	ENTITYNAME	RELATIONSHIPSTARTDATE	TITLEORSTATUS	OWNERSHIPCODE	CONTROLPERSON	AUTHORITYDESCRIPTION	RELATIONSHIPENDDATE
0001520138-21-000821	corporationPartnership	4	MICHAEL EDWARD TOBLER	28-OCT-2019	SECRETARY AND DIRECTOR	NA	true		
0001520138-21-000821	corporationPartnership	2	RODNEY PRESTON MICHEL	23-JAN-2009	SECRETARY AND DIRECTOR	NA	true		31-DEC-2014
0001520138-21-000821	corporationPartnership	1	FRANK EDWARD BRICKELL	23-JAN-2009	PRESIDENT AND DIRECTOR	E	true		
0001520138-21-000821	corporationPartnership	3	JASON TROY ADAMS	23-JAN-2009	DIRECTOR	NA	true		31-DEC-2012
0001146230-21-000008	corporationPartnership	3	Computershare Limited	27-JUN-2005	Indirect Owner	E	true		
0001146230-21-000008	corporationPartnership	4	Richard L. Johnson, Jr.	09-NOV-2001	Chief Compliance Officer	NA	true		
0001146230-21-000008	corporationPartnership	1	Stephen Cesso	09-NOV-2001	U.S. General Counsel and Asst. Secretary	NA	true		
0001146230-21-000008	corporationPartnership	2	Computershare US Inc.	27-JUN-2005	Indirect Owner	E	true		
0001146230-21-000008	corporationPartnership	5	Computershare US Services Inc.	14-MAR-2007	Indirect Owner	E	true		
0001146230-21-000008	corporationPartnership	6	Steven R. Rothbloom	04-OCT-2007	Chief Executive Officer and Director	NA	true		
0001146230-21-000008	corporationPartnership	7	ACN 081 035 752 Pty Ltd	19-MAY-2010	Indirect Owner	E	true		
0001146230-21-000008	corporationPartnership	8	Computershare Investments (UK)(No. 8) Limited	01-JAN-2012	Direct Owner	E	true		
0001146230-21-000008	corporationPartnership	9	Computershare Holdings Inc.	01-JAN-2012	Indirect Owner	E	true		
0001146230-21-000008	corporationPartnership	10	William D. Zeller	17-JUL-2012	Chief Legal Officer - Computershare US	NA	true		
0001146230-21-000008	corporationPartnership	11	Frank A. Madonna	12-NOV-2012	President and Head of Operations	NA	true		06-DEC-2021
0001146230-21-000008	corporationPartnership	12	Kevin M. Brennan	01-JUL-2013	Head of Equity Sales + Strategic Clients	NA	true		
0001146230-21-000008	corporationPartnership	13	Jeffery G. Chasse	23-SEP-2013	Controller	NA	true		
0001146230-21-000008	corporationPartnership	14	Nicholas S. R. Oldfield	01-JUL-2014	CFO, Treasurer, and Director	NA	true		
0001146230-21-000008	corporationPartnership	15	Mark L. McDougall	01-JUL-2014	Global Chief Information Officer	NA	true		
0001146230-21-000008	corporationPartnership	16	Carlos R. Leira	14-SEP-2015	Chief Information Officer	NA	true		
0001146230-21-000008	corporationPartnership	17	Robert M. Fromberg	01-FEB-2016	Secretary	NA	true		
0001146230-21-000008	corporationPartnership	18	Sheila M. Frierson	01-JUL-2016	President, US Plan Managers	NA	true		
0001146230-21-000008	corporationPartnership	19	Ellen R. McCarthy	22-APR-2019	Head of Risk and Compliance US	NA	true		
0001146230-21-000008	corporationPartnership	20	Marc J. Winters	06-DEC-2021	Head of Global Core Operations	NA	true		
0001901732-21-000003	corporationPartnership	2	Gordon M Jones	07-DEC-2021	Member	D	true		
0001901732-21-000003	corporationPartnership	1	Chris MacLaren	07-DEC-2021	Managing Member	D	true		
0001901691-21-000002	soleProprietorship	1	CHRIS WADE	03-DEC-2021	MANAGER			MANAGER	
0001897086-21-000002	corporationPartnership	1	Benjamin Schick	16-NOV-2021	Managing Member	E	true		
0000275143-21-000008	corporationPartnership	1	DST Systems, Inc.	05-SEP-1973	Co-shareholder	B	true		
0000275143-21-000008	corporationPartnership	2	West Side Investment Management, Inc.	30-MAR-2017	Co-shareholder	E	true		
0000275143-21-000008	corporationPartnership	9	Tracy Shelby	01-JUL-2019	Co-Head of Asset Manager Solutions & VP	NA	true		
0000275143-21-000008	corporationPartnership	8	SS&C Technologies, Inc.	16-APR-2018	Indirect Owner	E	true		
0000275143-21-000008	corporationPartnership	7	Adam Girard	16-APR-2018	Tax Officer	NA			
0000275143-21-000008	corporationPartnership	6	Patrick J. Pedonti	16-APR-2018	Vice President, Treasurer and Director	NA	true		
0000275143-21-000008	corporationPartnership	5	SS&C Technologies Holdings, Inc.	16-APR-2018	Indirect Owner	E	true		
0000275143-21-000008	corporationPartnership	4	Timothy William Bahr	30-MAR-2017	Director & Assistant Treasurer	NA	true		
0000275143-21-000008	corporationPartnership	3	Patricia L. Crockan	10-JUL-2015	Co-Head of Asset Manager Solutions & VP	NA	true		
0000027048-21-000007	corporationPartnership	7	Tracy Shelby	01-JUL-2019	Co-Head of Asset Manager Solutions	NA	true		
0000027048-21-000007	corporationPartnership	6	SS&C Technologies, Inc.	16-APR-2018	Direct Owner	E	true		
0000027048-21-000007	corporationPartnership	5	Patrick Pedonti	16-APR-2018	Executive VP, Treasurer, Director	NA	true		
0000027048-21-000007	corporationPartnership	4	Normand A. Boulanger	16-APR-2018	Director	NA	true		
0000027048-21-000007	corporationPartnership	3	William C. Stone	16-APR-2018	Director	NA	true		
0000027048-21-000007	corporationPartnership	2	Adam Girard	16-APR-2018	Tax Officer	NA	true		
0000027048-21-000007	corporationPartnership	1	SS&C Technologies Holdings, Inc.	16-APR-2018	Indirect Owner	E	true		
0000027048-21-000007	corporationPartnership	8	Patricia L. Crockan	01-JUL-2019	Co-Head of Asset Manager Solutions	NA	true		
0000842657-21-000024	corporationPartnership	8	DWS Group GmbH & Co KGaA	02-APR-2018	100% owner of DeAM US Holding Corp.	E	true		
0000842657-21-000024	corporationPartnership	9	DB Beteiligungs - Holding GmbH	02-APR-2018	77,5% owner of DWS Group GmbH & Co KGaA	E	true		
0000842657-21-000024	corporationPartnership	10	DWS USA Corporation	01-MAY-2018	100% owner of DIMA	E	true		
0000842657-21-000024	corporationPartnership	11	Hepsen Uzcan	25-JUN-2018	Director and Vice President	NA	true		
0000842657-21-000024	corporationPartnership	12	Nicole Grogan	26-JUL-2019	Director and Vice President	NA	true		
0000842657-21-000024	corporationPartnership	1	Kristine Lyons	22-SEP-2005	Director and Vice President	NA	true		
0000842657-21-000024	corporationPartnership	2	Nancy Tanzil	13-MAY-2014	Chief Financial Officer and Treasurer	NA			
0000842657-21-000024	corporationPartnership	3	DWS Investment Management Americas Inc.	06-FEB-1998	100% owner of Registrant	E	true		
0000842657-21-000024	corporationPartnership	4	Deutsche Asset Management US Holding Corporation (DeAM US Holding Corp.)	01-AUG-2017	100% owner of DIMA	E	true		01-MAY-2018
0000842657-21-000024	corporationPartnership	5	Michael Sharkey	01-NOV-2017	Director and President	NA	true		
0000842657-21-000024	corporationPartnership	6	Anjie Larocca	14-JUN-2017	Secretary	NA	true		
0000842657-21-000024	corporationPartnership	7	Deutsche Bank AG	02-APR-2018	owner of DB Beteiligungs - Holding GmbH	E	true		
0001018490-21-000031	corporationPartnership	7	Stephen Hessler	22-APR-2021	Director and President	NA	true		
0001018490-21-000031	corporationPartnership	6	Edward McMahon	02-MAY-2019	Director	NA	true		
0001018490-21-000031	corporationPartnership	5	Heiko Roessle	27-MAR-2019	Director	NA	true		
0001018490-21-000031	corporationPartnership	4	Deutsche Bank AG	04-JUN-1999	Owner of 100% DB USA Corporation	E			
0001018490-21-000031	corporationPartnership	3	DB USA Corporation	01-JUL-2016	Owner of 100% of DBTC	E			
0001018490-21-000031	corporationPartnership	2	Deutsche Bank Trust Corporation (DBTC)	12-DEC-1991	Owner of 100% DBHold	E			
0001018490-21-000031	corporationPartnership	1	Deutsche Bank Holdings, Inc. (DBHold)	12-DEC-1991	Owner of 100% Registrant	E			
0000950123-21-016127	corporationPartnership	5	Dennis P. Gallagher	20-OCT-2021	Associate General Counsel	NA	true		
0000950123-21-016127	corporationPartnership	4	Erin D. Nelson	09-SEP-2019	Assoc. General Counsel, Asst. Secretary	NA	true		19-OCT-2021
0000950123-21-016127	corporationPartnership	3	AUSA Holding Company	31-DEC-2004	Owner	D	true		
0000950123-21-016127	corporationPartnership	2	Marijn P. Smit	01-AUG-2014	Director, President, CEO	NA	true		
0000950123-21-016127	corporationPartnership	1	Christopher Alan Staples	28-JAN-2005	Director	NA	true		
0001018490-21-000030	corporationPartnership	4	Deutsche Bank AG	04-JUN-1999	Owner of 100% DB USA Corporation	E			
0001018490-21-000030	corporationPartnership	5	Heiko Roessle	27-MAR-2019	Director	NA	true		
0001018490-21-000030	corporationPartnership	6	Edward McMahon	02-MAY-2019	Director	NA	true		
0001018490-21-000030	corporationPartnership	7	Stephen Hessler	22-APR-2021	Director and President	NA	true		
0001018490-21-000030	corporationPartnership	3	DB USA Corporation	01-JUL-2016	Owner of 100% of DBTC	E			
0001018490-21-000030	corporationPartnership	2	Deutsche Bank Trust Corporation (DBTC)	12-DEC-1991	Owner of 100% DBHold	E			
0001018490-21-000030	corporationPartnership	1	Deutsche Bank Holdings, Inc. (DBHold)	12-DEC-1991	Owner of 100% Registrant	E			
0001104659-21-147563	corporationPartnership	1	Michael B. Ajzenman	28-MAR-1996	President	E	true		
0000950123-21-016033	corporationPartnership	2	The Jones Financial Companies, L.L.L.P.	28-AUG-1987	Limited Partner	E	true		
0000950123-21-016033	corporationPartnership	1	EDJ Holding Company, Inc.	28-AUG-1987	General Partner	NA	true		
0000849542-21-000007	corporationPartnership	15	Julie Shores	03-FEB-2021	Board Director	NA	true		
0000849542-21-000007	corporationPartnership	14	Alexandra Waite Goodburn	29-OCT-2020	President and Board Chairman	NA	true		
0000849542-21-000007	corporationPartnership	13	The Bank of New York Mellon Corporation	01-JUL-2010	Ultimate parent entity	E	true		
0000849542-21-000007	corporationPartnership	12	The Bank of New York Mellon	01-JUL-2010	Owner of parent entity	E	true		
0000849542-21-000007	corporationPartnership	11	BNY Mellon US Services Holdings LLC f/k/a BNYM GIS Funding	01-JUL-2010	Parent entity	E	true		
0000849542-21-000007	corporationPartnership	10	Michael DeNofrio	01-DEC-1999	Board Director	NA	true		31-DEC-2020
0000849542-21-000007	corporationPartnership	9	William Allsopp	01-JAN-2019	CCO	NA	true		
0000849542-21-000007	corporationPartnership	8	Nicole Fouron	19-OCT-2018	Board Director	NA	true		
0000849542-21-000007	corporationPartnership	6	Matthew A. Wells	29-SEP-2017	Board Director	NA	true		
0000849542-21-000007	corporationPartnership	5	Christine Gill	29-SEP-2017	Board Director	NA	true		
0000849542-21-000007	corporationPartnership	4	David Cullman	29-SEP-2017	Board Director	NA	true		
0000849542-21-000007	corporationPartnership	3	Calvin G. Holmquist	01-JUN-2014	President & Board Chairman	NA	true		30-SEP-2020
0000849542-21-000007	corporationPartnership	2	Stephen P. Farlese	11-OCT-2013	Board Director	NA	true		
0000849542-21-000007	corporationPartnership	1	Joseph G. Bawiec	31-MAR-2009	CFO	NA	true		
0000849542-21-000007	corporationPartnership	7	Timothy LiVolsi	07-FEB-2018	Board Director	NA	true		30-JUN-2021
0000868275-21-000006	corporationPartnership	1	JANE K. CARTEN	14-FEB-2001	DIRECTOR/PRESIDENT & CEO	D	true		
0000868275-21-000006	corporationPartnership	10	CHARLES RYAN LECOCQ	26-AUG-2020	INDEPENDENT DIRECTOR	NA			
0000868275-21-000006	corporationPartnership	9	KALEN M. HANNA	20-AUG-2009	DIRECTOR, CFO & TREASURER	NA	true		
0000868275-21-000006	corporationPartnership	8	DENNIS R. MURPHY	23-APR-2013	INDEPENDENT DIRECTOR	NA			
